0,0,-66.0
0,1,-65.0
0,2,-65.0
0,3,-66.0
0,4,-67.0
0,5,-69.0
0,6,-66.0
0,7,-67.0
0,8,-65.0
0,9,-64.0
0,10,-64.0
0,11,-65.0
0,12,-67.0
0,13,-72.0
0,14,-76.0
0,15,-81.0
0,16,-75.0
0,17,-73.0
0,18,-72.0
0,19,-71.0
0,20,-70.0
0,21,-67.0
0,22,-66.0
0,23,-65.0
1,0,-64.0
1,1,-64.0
1,2,-63.0
1,3,-61.0
1,4,-62.0
1,5,-62.0
1,6,-62.0
1,7,-63.0
1,8,-64.0
1,9,-66.0
1,10,-66.0
1,11,-69.0
1,12,-71.0
1,13,-79.0
1,14,-83.0
1,15,-75.0
1,16,-72.0
1,17,-70.0
1,18,-70.0
1,19,-69.0
1,20,-69.0
1,21,-68.0
1,22,-65.0
1,23,-65.0
2,0,-66.0
2,1,-64.0
2,2,-60.0
2,3,-60.0
2,4,-59.0
2,5,-60.0
2,6,-61.0
2,7,-61.0
2,8,-62.0
2,9,-65.0
2,10,-67.0
2,11,-68.0
2,12,-76.0
2,13,-82.0
2,14,-74.0
2,15,-69.0
2,16,-67.0
2,17,-65.0
2,18,-65.0
2,19,-67.0
2,20,-70.0
2,21,-67.0
2,22,-65.0
2,23,-65.0
3,0,-65.0
3,1,-64.0
3,2,-61.0
3,3,-60.0
3,4,-59.0
3,5,-59.0
3,6,-60.0
3,7,-61.0
3,8,-64.0
3,9,-64.0
3,10,-68.0
3,11,-69.0
3,12,-75.0
3,13,-81.0
3,14,-73.0
3,15,-69.0
3,16,-68.0
3,17,-65.0
3,18,-65.0
3,19,-66.0
3,20,-69.0
3,21,-69.0
3,22,-67.0
3,23,-65.0
4,0,-67.0
4,1,-64.0
4,2,-62.0
4,3,-61.0
4,4,-60.0
4,5,-60.0
4,6,-59.0
4,7,-60.0
4,8,-63.0
4,9,-66.0
4,10,-69.0
4,11,-72.0
4,12,-75.0
4,13,-79.0
4,14,-75.0
4,15,-70.0
4,16,-71.0
4,17,-65.0
4,18,-65.0
4,19,-67.0
4,20,-69.0
4,21,-73.0
4,22,-71.0
4,23,-67.0
5,0,-71.0
5,1,-70.0
5,2,-66.0
5,3,-61.0
5,4,-61.0
5,5,-61.0
5,6,-61.0
5,7,-62.0
5,8,-63.0
5,9,-67.0
5,10,-72.0
5,11,-73.0
5,12,-77.0
5,13,-80.0
5,14,-77.0
5,15,-72.0
5,16,-70.0
5,17,-67.0
5,18,-67.0
5,19,-68.0
5,20,-71.0
5,21,-78.0
5,22,-81.0
5,23,-71.0
6,0,-77.0
6,1,-75.0
6,2,-72.0
6,3,-65.0
